# Region Report
# Assembly name:  GRCh38.p14
# Description:    Genome Reference Consortium Human Build 38 patch release 14 (GRCh38.p14)
# Organism name:  Homo sapiens (human)
# Taxid:          9606
# BioProject:     PRJNA31257
# Submitter:      Genome Reference Consortium
# Date:           2022-02-03
# Synonyms:       hg38	
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001405.29
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.2		Primary Assembly
## GCA_000005045.27		PATCHES
## GCA_000001315.2		ALT_REF_LOCI_1
## GCA_000001325.2		ALT_REF_LOCI_2
## GCA_000001335.2		ALT_REF_LOCI_3
## GCA_000001345.2		ALT_REF_LOCI_4
## GCA_000001355.2		ALT_REF_LOCI_5
## GCA_000001365.2		ALT_REF_LOCI_6
## GCA_000001375.2		ALT_REF_LOCI_7
## GCA_000510225.1		ALT_REF_LOCI_8
## GCA_000510235.1		ALT_REF_LOCI_9
## GCA_000509915.1		ALT_REF_LOCI_10
## GCA_000509925.1		ALT_REF_LOCI_11
## GCA_000509935.1		ALT_REF_LOCI_12
## GCA_000509945.1		ALT_REF_LOCI_13
## GCA_000509955.1		ALT_REF_LOCI_14
## GCA_000509965.1		ALT_REF_LOCI_15
## GCA_000509975.1		ALT_REF_LOCI_16
## GCA_000509985.1		ALT_REF_LOCI_17
## GCA_000509995.1		ALT_REF_LOCI_18
## GCA_000510005.1		ALT_REF_LOCI_19
## GCA_000510015.1		ALT_REF_LOCI_20
## GCA_000510025.1		ALT_REF_LOCI_21
## GCA_000510035.1		ALT_REF_LOCI_22
## GCA_000510045.1		ALT_REF_LOCI_23
## GCA_000510055.1		ALT_REF_LOCI_24
## GCA_000510065.1		ALT_REF_LOCI_25
## GCA_000510075.1		ALT_REF_LOCI_26
## GCA_000510085.1		ALT_REF_LOCI_27
## GCA_000510095.1		ALT_REF_LOCI_28
## GCA_000510105.1		ALT_REF_LOCI_29
## GCA_000510125.1		ALT_REF_LOCI_30
## GCA_000510135.1		ALT_REF_LOCI_31
## GCA_000510145.1		ALT_REF_LOCI_32
## GCA_000510155.1		ALT_REF_LOCI_33
## GCA_000510165.1		ALT_REF_LOCI_34
## GCA_000510175.1		ALT_REF_LOCI_35
## GCA_000006015.1		non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
REGION108	1	2448811	2791270	alt-scaffold	KI270762.1	NT_187515.1	ALT_REF_LOCI_1
PRAME_REGION_1	1	12818488	13312803	alt-scaffold	KI270766.1	NT_187517.1	ALT_REF_LOCI_1
PRAME_REGION_1	1	12818488	13312803	fix-patch	KQ031383.1	na	PATCHES
PRAME_REGION_1	1	12818488	13312803	novel-patch	KQ983255.1	na	PATCHES
REGION200	1	16195864	17460319	fix-patch	MU273333.1	na	PATCHES
REGION200	1	16195864	17460319	fix-patch	KN538361.1	na	PATCHES
REGION228	1	23237486	23579959	novel-patch	KQ458383.1	na	PATCHES
REGION189	1	26512383	26678582	fix-patch	KN196473.1	na	PATCHES
REGION246	1	28206357	28366763	novel-patch	KZ208904.1	na	PATCHES
REGION261	1	29545040	29590578	fix-patch	KZ559100.1	na	PATCHES
REGION109	1	30352191	30456601	alt-scaffold	KI270760.1	NT_187514.1	ALT_REF_LOCI_1
FOXO6	1	41250328	41436604	fix-patch	KN196472.1	na	PATCHES
REGION247	1	72287734	72419130	novel-patch	KZ208905.1	na	PATCHES
REGION229	1	103909381	104045121	novel-patch	KQ458382.1	na	PATCHES
REGION240	1	107987825	108539424	novel-patch	KV880763.1	na	PATCHES
REGION190	1	112909422	113029606	fix-patch	KN196474.1	na	PATCHES
REGION304	1	120382304	120906271	novel-patch	MU273330.1	na	PATCHES
CEN1	1	122026460	125184587	CEN	na	na	na
1Q21	1	144488706	144674781	alt-scaffold	KI270765.1	NT_187520.1	ALT_REF_LOCI_1
REGION2	1	153700531	153865738	alt-scaffold	GL383518.1	NW_003315905.1	ALT_REF_LOCI_1
MTX1	1	155210382	155305245	alt-scaffold	GL383519.1	NW_003315906.1	ALT_REF_LOCI_1
REGION305	1	156441444	156653375	fix-patch	MU273335.1	na	PATCHES
REGION306	1	159248175	159498620	fix-patch	MU273336.1	na	PATCHES
REGION307	1	196150325	197082310	novel-patch	MU273331.1	na	PATCHES
REGION3	1	198370083	198725175	alt-scaffold	GL383520.2	NW_003315907.2	ALT_REF_LOCI_1
REGION199	1	210220259	210677001	fix-patch	KN538360.1	na	PATCHES
RNA5S_REGION_1	1	228408802	228753027	fix-patch	KZ208906.1	na	PATCHES
REGION110	1	234163457	234211370	alt-scaffold	KI270764.1	NT_187521.1	ALT_REF_LOCI_1
TBCE	1	235360200	235568613	novel-patch	KQ458384.1	na	PATCHES
REGION111	1	242987893	243895211	alt-scaffold	KI270763.1	NT_187519.1	ALT_REF_LOCI_1
